index,word,score,data_frequency
231,BRAVO,10,2772503
232,BREAD,8,13575360
233,BREAK,11,51242970
234,BREED,8,7716901
235,BRENT,7,4683680
236,BRICK,13,8094369
237,BRIDE,8,8650665
238,BRIEF,10,32599674
239,BRING,8,57608074
240,BRINK,11,1484879
241,BROAD,8,21370126
242,BROCK,13,2441409
243,BROKE,11,10460811
244,BROOK,11,6044943
245,BROWN,10,64112042
246,BRUSH,10,10018684
247,BUCKS,13,6165133
248,BUDDY,12,23611087
249,BUFFY,16,4519674
250,BUGGY,12,1955438
251,BUILD,8,77203075
252,BUILT,7,61502894
253,BULBS,9,5028440
254,BULLS,7,3540837
255,BULLY,10,1532418
256,BUMPS,11,1501221
257,BUNCH,12,10355431
258,BUNNY,10,5730050
259,BURKE,11,5646090
260,BURNS,7,9460104
261,BURNT,7,3221640
262,BURST,7,5147573
263,BUSES,7,6101027
264,BUSTY,10,15705827
265,BUTTE,7,2505600
266,BUTTS,7,8968856
267,BUYER,10,42024703
268,BYTES,10,30848384
269,CABIN,9,8052267
270,CABLE,9,70082598
271,CACHE,12,17250923
272,CADET,8,1717624
273,CAFES,10,2730706
274,CAGES,8,1943021
275,CAJUN,14,2262690
276,CAKES,11,5565500
277,CALLS,7,43661633
278,CAMEL,9,11005001
279,CAMEO,9,1517437
280,CAMPS,11,11712039
281,CANAL,7,8278196
282,CANDY,11,13772033
283,CANOE,7,3790795
284,CANON,7,41144763
285,CAPRI,9,4902351
286,CARAT,7,3398374
287,CARBS,9,1715865
288,CARDS,8,121094522
289,CARED,8,2333049
290,CARES,7,4757269
291,CARGO,8,9748668
292,CAROL,7,11109404
293,CARRY,10,33056477
294,CARTE,7,2722336
295,CARTS,7,3559795
296,CASES,7,86255673
297,CASTS,7,1645690
298,CATCH,12,20400979
299,CATER,7,2092828
300,CAUSE,7,65904680
301,CAVES,10,2355316
302,CEASE,7,4081957
303,CEDAR,8,9484993
304,CELEB,9,4548138
305,CELLO,7,2358848
306,CELLS,7,44128080
307,CENTS,7,10301064
308,CHAIN,10,35928367
309,CHAIR,10,40764005
310,CHALK,14,2498505
311,CHAMP,14,2867858
312,CHANG,11,4168927
313,CHAOS,10,8690268
314,CHARM,12,10554644
315,CHARS,10,1627316
316,CHART,10,35027490
317,CHASE,10,10971945
318,CHATS,10,2666432
319,CHEAP,12,97049762
320,CHEAT,10,9903572
321,CHECK,16,244491090
322,CHEEK,14,2681029
323,CHEER,10,3648929
324,CHEFS,13,2252629
325,CHESS,10,8293823
326,CHEST,10,13516414
327,CHEVY,16,5729809
328,CHICK,16,7771502
329,CHICO,12,2212526
330,CHIEF,13,45699591
331,CHILD,11,119747393
332,CHILE,10,14372798
333,CHILI,10,4553187
334,CHILL,10,4489643
335,CHINA,10,124472054
336,CHING,11,1605671
337,CHIPS,12,13982676
338,CHOIR,10,5156247
339,CHOKE,14,1448146
340,CHORD,11,3123447
341,CHOSE,10,9409845
342,CHUCK,16,9574825
343,CHUNK,14,2371231
344,CIDER,8,1743446
345,CIGAR,8,3993843
346,CIRCA,9,3475462
347,CISCO,9,27894293
348,CITED,8,11195944
349,CITES,7,3151464
350,CIVIC,12,10283668
351,CIVIL,10,49495349
352,CLAIM,9,40085342
353,CLAMP,11,3639509
354,CLANS,7,1570521
355,CLASH,10,3531117
356,CLASS,7,191087771
357,CLEAN,7,45381752
358,CLEAR,7,88447610
359,CLERK,11,11923960
360,CLICK,13,536746424
361,CLIFF,13,5898886
362,CLIMB,11,5697476
363,CLINT,7,2481872
364,CLIPS,9,32846497
365,CLOAK,11,1450056
366,CLOCK,13,26624872
367,CLONE,7,9284578
368,CLOSE,7,107853068
369,CLOTH,10,9764137
370,CLOUD,8,11337220
371,CLOWN,10,3081501
372,CLUBS,9,34881779
373,CLUES,7,2988321
374,COACH,12,24514961
375,COAST,7,47716394
376,COATS,7,4107452
377,COBRA,9,4412823
378,COCKS,13,15043799
379,COCOA,9,3557169
380,COCOS,9,2354000
381,CODEC,10,3048388
382,CODED,9,4330278
383,CODES,8,34503537
384,COHEN,10,6665722
385,COILS,7,1503707
386,COINS,7,16449733
387,COLIN,7,8807299
388,COLON,7,5494297
389,COLOR,7,112965658
390,COLTS,7,2092808
391,COMBI,11,1465296
392,COMBO,11,10592758
393,COMBS,11,1515329
394,COMES,9,64256803
395,COMET,9,3116034
396,COMIC,11,16695850
397,COMMA,11,2711522
398,CONDO,8,6444848
399,CONES,7,1538688
400,CONGO,8,9310976
401,COOKS,11,2470395
402,CORAL,7,8818272
403,CORDS,8,2380982
404,CORES,7,1983675
405,COREY,10,2588392
406,CORPS,9,12150135
407,COSTA,7,23702154
408,COSTS,7,101090970
409,COUCH,12,4581367
410,COUGH,11,3451640
411,COULD,8,302311431
412,COUNT,7,40345803
413,COUPE,9,4874541
414,COURT,7,127719981
415,COVER,10,94501729
416,COWAN,10,1463253
417,CRACK,13,16633701
418,CRAFT,10,16528294
419,CRAIG,8,13480763
420,CRANE,7,4888961
421,CRANK,11,2185208
422,CRAPS,9,5943974
423,CRASH,10,15302627
424,CRATE,7,2336818
425,CRAWL,10,2859784
426,CRAZY,19,23032837
427,CREAM,9,25898758
428,CREED,8,3398609
429,CREEK,11,38159464
430,CREEP,9,1811981
431,CREME,9,1724183
432,CREST,7,5477034
433,CREWS,10,2986282
434,CRIBS,9,1423971
435,CRIED,8,4352198
436,CRIES,7,1878107
437,CRIME,9,40361756
438,CRISP,9,3880385
439,CROFT,10,1468213
440,CROPS,9,7931319
441,CROSS,7,74230978
442,CROWD,11,11409218
443,CROWN,10,16651038
444,CRUDE,8,5119129
445,CRUEL,7,4180956
446,CRUSH,10,3576348
447,CRUST,7,2267452
448,CRYPT,12,1904607
449,CUBES,9,1887321
450,CUBIC,11,5774261
451,CURED,8,1955657
452,CURES,7,1489176
453,CURLY,10,2231026
454,CURRY,10,4029540
455,CURSE,7,3982181
456,CURVE,10,11071177
457,CUTIE,7,3305791
458,CYBER,12,9289150
459,CYCLE,12,29585286
460,DADDY,11,9211193
461,DAILY,9,105837757
462,DAIRY,9,8781961
463,DAISY,9,5124326
464,DANCE,8,51147967
465,DANNY,9,7664864
466,DARTS,6,2290842
467,DATED,7,12707511
468,DATES,6,38442243
469,DATUM,8,2226219
470,DEALS,6,91189968
471,DEALT,6,6174968
472,DEATH,9,83216831
473,DEBIT,8,4633794
474,DEBTS,8,4259542
475,DEBUG,9,9581095
476,DEBUT,8,7220643
477,DECAL,8,2311933
478,DECAY,11,4956622
479,DECKS,12,4131188
480,DECOR,8,12098868
481,DEEDS,7,3636121
482,DEERE,6,2113985
483,DELAY,9,21911190
484,DELTA,6,28051872
485,DEMON,8,4602331
486,DEMOS,8,4984806
487,DENIM,8,4737554
488,DENIS,6,3155542
489,DENSE,6,5225392
490,DEPOT,8,9688338
491,DEPTH,11,31879926
492,DERBY,11,6319608
493,DESKS,10,3315227
494,DETER,6,1887521
495,DETOX,13,2297343
496,DEVEL,9,28152649
497,DEVIL,9,12869511
498,DEVON,9,6896016
499,DIANE,6,7081367
500,DIARY,9,14922472
501,DICKS,12,9280692
502,DIETS,6,4207940
503,DIFFS,12,5870429
504,DIGIT,7,6991045
505,DILDO,7,20789655
506,DINAR,6,3399128
507,DINER,6,2261961
508,DIODE,7,1897828
509,DIRTY,9,16101662
510,DISCO,8,7067687
511,DISCS,8,10404995
512,DISKS,10,6445126
513,DITCH,11,2373753
514,DIVER,9,2452406
515,DIXIE,13,2920964
516,DIZZY,27,1424316
517,DOCKS,12,1534076
518,DODGE,8,14768509
519,DOING,7,80821946
520,DOLCE,8,2283881
521,DOLLS,6,22065047
522,DOLLY,9,2266400
523,DONNA,6,8058734
524,DONOR,6,7096675
525,DOORS,6,20229491
526,DORIS,6,2132988
527,DOSES,6,4717242
528,DOUBT,8,20311261
529,DOUGH,10,3032657
530,DOVER,9,5683356
531,DOWNS,9,4578206
532,DOZEN,15,9776227
533,DRAFT,9,35033621
534,DRAIN,6,6411642
535,DRAKE,10,4373046
536,DRAMA,8,20939845
537,DRANK,10,1777243
538,DRAWN,9,14827380
539,DRAWS,9,5458448
540,DREAD,7,1649823
541,DREAM,8,33518573
542,DRESS,6,27318959
543,DRIED,7,6331606
544,DRIFT,9,3889505
545,DRILL,6,8248787
546,DRINK,10,29254937
547,DRIVE,9,107799371
548,DROPS,8,8187657
549,DROVE,9,5545848
550,DRUGS,7,38827156
551,DRUMS,8,8560748
552,DRUNK,10,10519219
553,DRYER,9,5592001
554,DUCKS,12,3618693
555,DUKES,10,1971678
556,DUMMY,13,3230609
557,DUNES,6,2088285
558,DUNNO,6,1917052
559,DUSTY,9,2339959
560,DUTCH,11,19000979
561,DUVET,9,1567578
562,DWARF,12,3072068
563,DWELL,9,2014411
564,DYING,10,9123557
565,EAGER,6,4175668
566,EAGLE,6,16785232
567,EARLY,8,100013194
568,EARNS,5,1661937
569,EARTH,8,61059905
570,EATEN,5,3412832
571,EATER,5,1702828
572,EBONY,10,14831025
573,EBOOK,11,9558308
574,EDGED,8,1568009
575,EDGES,7,7826115
576,EDITS,6,4631228
577,EIGHT,9,32567724
578,ELBOW,10,3484326
579,ELDER,6,7299470
580,ELECT,7,5748899
581,ELITE,5,12673836
582,EMACS,9,5697594
583,EMAIL,7,443949646
584,EMPTY,12,26206017
585,EMULE,7,1826567
586,ENDED,7,32588866
587,ENEMY,10,14084182
588,ENJOY,15,50141455
589,ENTER,5,119394206
590,ENTRY,8,80717798
591,ENVOY,11,1574245
592,EPOCH,12,1680235
593,EPOXY,17,1908076
594,EQUAL,14,34832354
595,EQUIP,16,4044391
596,ERASE,5,3086642
597,ERECT,7,2057313
598,ERICA,7,2307054
599,ERROR,5,89396475
600,ESSAY,8,11750312
601,ESTER,5,1581770
602,ETHER,8,1877315
603,EUROS,5,6533754
604,EVENT,8,125515260
605,EVERY,11,189325890
606,EVITE,8,4214149
607,EXACT,14,22304937
608,EXAMS,14,7364984
609,EXCEL,14,14133468
610,EXILE,12,2801261
611,EXIST,12,25349128
612,EXITS,12,1963047
613,EXPAT,14,2324561
614,EXTRA,12,59377307
615,EZINE,14,3149621
616,FABLE,10,1678751
617,FACED,11,9938155
618,FACES,10,15050854
619,FACTS,10,36041603
620,FADED,10,1899648
621,FAILS,8,12015364
622,FAINT,8,2565744
623,FAIRS,8,4091127
624,FAIRY,11,6435300
625,FAITH,11,35936559
626,FAKES,12,1833800
627,FALLS,8,33213513
628,FALSE,8,33476460
629,FANCY,13,8777135
630,FANNY,11,1516099
631,FARES,8,5093799
632,FARMS,10,9908537
633,FATAL,8,6779744
634,FATTY,11,5363547
635,FAULT,8,13112664
636,FAUNA,8,2298940
637,FAVOR,11,11867822
638,FAXES,15,3386604
639,FEARS,8,6244239
640,FEAST,8,4166016
641,FEDEX,16,4153858
642,FEEDS,9,31593736
643,FEELS,8,12212683
644,FEMME,12,2521124
645,FENCE,10,6796605
646,FERRY,11,9208954
647,FETAL,8,3127968
648,FETCH,13,2897593
649,FETUS,8,1744267
650,FEVER,11,8582665
651,FEWER,11,10792786
652,FIBER,10,15530318
653,FIBRE,10,5134463
654,FIELD,9,135289140
655,FIERY,11,1838655
656,FIFTH,14,16255266
657,FIFTY,14,8133138
658,FIGHT,12,30784313
659,FILED,9,30718907
660,FILES,8,125524478
661,FILLS,8,2630389
662,FILMS,10,35200065
663,FILTH,11,2077997
664,FINAL,8,97649084
665,FINCH,13,1816047
666,FINDS,9,16280898
667,FINED,9,1620321
668,FINER,8,1455912
669,FINES,8,3270544
670,FIRED,9,8031937
671,FIRES,8,6407259
672,FIRMS,10,25497302
673,FIRST,8,578161543
674,FITCH,13,1518593
675,FIXED,16,49215402
676,FIXES,15,7513516
677,FLAGS,9,14870655
678,FLAIR,8,1924190
679,FLAME,10,8527495
680,FLARE,8,2190533
681,FLASH,11,68391647
682,FLATS,8,4911343
683,FLAWS,11,2856172
684,FLEET,8,10364423
685,FLESH,11,6768724
686,FLICK,14,2226500
687,FLIES,8,4894680
688,FLINT,8,3230800
689,FLIRT,8,1817719
690,FLOAT,8,8808655
691,FLOCK,14,2585098
692,FLOOD,9,13979267
693,FLOOR,8,53759851
694,FLORA,8,4756211
695,FLOUR,8,5162842
696,FLOWN,11,1749635
697,FLOWS,11,10797166
698,FLUID,9,12943336
699,FLUSH,11,5625285
700,FLUTE,8,4090740
701,FLYER,11,5718564
702,FOCAL,10,5844761
703,FOCUS,10,65626732
704,FOLDS,9,2282227
705,FOLEY,11,2314106
706,FOLIO,8,1842202
707,FOLKS,12,13760930
708,FONTS,8,11884559
709,FOODS,9,21150689
710,FOOLS,8,3167945
711,FORCE,10,79199815
712,FOREX,15,3977390
713,FORGE,9,5226805
714,FORKS,12,3592612
715,FORMS,10,63561604
716,FORTE,8,1795408
717,FORTH,11,20149609
718,FORTY,11,7415064
719,FORUM,10,254478181
720,FOUND,9,232005894
721,FRAME,10,46079991
722,FRANC,10,4916960
723,FRANK,12,31392284
724,FRAUD,9,15378751
725,FREAK,12,3908219
726,FREED,9,2683280
727,FRESH,11,38781893
728,FRIED,9,4364192
729,FRIES,8,2119656
730,FRITZ,17,2309089
731,FROGS,9,2326307
732,FRONT,8,100886343
733,FROST,8,5940685
734,FRUIT,8,22767191
735,FUCKS,14,3058134
736,FUDGE,10,1969555
737,FUELS,8,4657731
738,FULLY,11,48616832
739,FUNDS,9,55721876
740,FUNGI,9,2000715
741,FUNKY,15,5587279
742,FUNNY,11,34281806
743,FURRY,11,1887389
744,FUZZY,29,5241931
745,GAINS,6,10137566
746,GAMER,8,3144985
747,GAMES,8,305930896
748,GAMMA,10,35426622
749,GANGS,7,1743105
750,GARTH,9,2176273
751,GASES,6,4277836
752,GATED,7,1426083
753,GATES,6,10734618
754,GATOR,6,1536519
755,GAUGE,7,9952466
756,GEARS,6,2626927
757,GEEKS,10,2710575
758,GENES,6,12396954
759,GENIE,6,1627726
760,GENOA,6,1548016
761,GENRE,6,22344091
762,GENUS,6,4275567
763,GHOST,9,14490042
764,GIANT,6,17098874
765,GIFTS,9,95412416
766,GIMME,10,1471759
767,GIRLS,6,132325396
768,GIVEN,9,125542966
769,GIVES,9,45649146
770,GLAND,7,2561362
771,GLARE,6,1567097
772,GLASS,6,63559754
773,GLAZE,15,1431525
774,GLIDE,7,1731344
775,GLOBE,8,14554904
776,GLORY,9,13158826
777,GLOSS,6,3426618
778,GLOVE,9,4714578
779,GNOME,8,12609820
780,GOALS,6,36766773
781,GOATS,6,2184919
782,GOING,7,155284081
783,GONNA,6,13542156
784,GOODS,7,52507183
785,GOOSE,6,3739382
786,GORGE,7,1950264
787,GOTTA,6,6870320
788,GOWNS,9,2217657
789,GRABS,8,1763328
790,GRACE,8,17642126
791,GRADE,7,54275130
792,GRAFT,9,1576259
793,GRAIN,6,10244623
794,GRAMS,8,5240826
795,GRAND,7,56599468
796,GRANT,6,47609624
797,GRAPE,8,3638159
798,GRAPH,11,15526746
799,GRASP,8,3270025
800,GRASS,6,12868953
801,GRAVE,9,6929008
802,GRAVY,12,1441099
803,GREAT,6,301487430
804,GREED,7,1997460
805,GREEK,10,25059132
806,GREEN,6,108287905
807,GREET,6,1784219
808,GRIDS,7,1562935
809,GRIEF,9,4552843
810,GRILL,6,10254124
811,GRIND,7,2482307
812,GRIPS,8,2629556
813,GROOM,8,2637912
814,GROSS,6,16440590
815,GROUP,8,321842984
816,GROVE,9,15189493
817,GROWN,9,13931521
818,GROWS,9,5899321
819,GUARD,7,21137924
820,GUESS,6,28743465
821,GUEST,6,55293215
822,GUIDE,7,213378807
823,GUILD,7,7923630
824,GUILT,6,3623942
825,GYPSY,14,2201227
826,HABIT,10,4880657
827,HACKS,14,3348166
828,HAIKU,12,1557648
829,HAIRY,11,19060619
830,HALLS,8,4607236
831,HANDS,9,49087727
832,HANDY,12,7936655
833,HANGS,9,2287111
834,HAPPY,15,63471922
835,HARDY,12,4748572
836,HARRY,11,33867934
837,HARSH,11,4087715
838,HATCH,13,3896261
839,HATED,9,3173792
840,HATES,8,2034161
841,HAUTE,8,1863024
842,HAVEN,11,10569212
843,HAVOC,13,1692191
844,HAWKS,15,3117529
845,HAZEL,17,2841268
846,HEADS,9,18400524
847,HEARD,9,45436523
848,HEARS,8,1737280
849,HEART,8,90249265
850,HEATH,11,6139151
851,HEAVY,14,37668153
852,HEDGE,10,4041429
853,HEELS,8,4907543
854,HEIRS,8,1489908
855,HELIX,15,2921411
856,HELLO,8,32960381
857,HELPS,10,29607993
858,HENCE,10,14992334
859,HENRY,11,28769085
860,HERBS,10,8271850
861,HERON,8,1576813
862,HERTZ,17,1752925
863,HICKS,14,2503430
864,HIDES,9,1700672
865,HIGHS,12,7468394
866,HIKES,12,1491709
867,HILLS,8,25770218
868,HINGE,9,1758893
869,HINTS,8,8393784
870,HIRED,9,6526426
871,HIRES,8,1845244
872,HITCH,13,2730000
873,HOBBY,15,8237250
874,HOGAN,9,2600534
875,HOLDS,9,18963546
876,HOLES,8,11529280
877,HOLLY,11,6834032
878,HOMER,10,4281428
879,HOMES,10,66753480
880,HOMME,12,1967874
881,HONDA,9,18261029
882,HONEY,11,9978043
883,HONOR,8,16787246
884,HOODS,9,2240850
885,HOOKS,12,4023408
886,HOOPS,10,2438525
887,HOPED,11,5086531
888,HOPES,10,9462715
889,HORDE,9,3026646
890,HORNS,8,2427037
891,HORNY,11,12363955
892,HORSE,8,58453720
893,HOSTS,8,12228736
894,HOTEL,8,297974790
895,HOUND,9,2228633
896,HOURS,8,198242904
897,HOUSE,8,231310420
898,HOVER,11,1553261
899,HUMAN,10,160573748
900,HUMOR,10,18085495
901,HUMPS,12,1492758
902,HUNKS,12,4776866
903,HURRY,11,3536968
904,HURST,8,1509915
905,HURTS,8,2956264
906,HUSKY,15,1606901
907,HYDRO,12,3725464
908,HYPER,13,3153749
909,ICONS,7,13649671
910,IDEAL,6,26036289
911,IDEAS,6,67309657
912,IDIOT,6,4635830
913,IMAGE,8,197874283
914,IMPLY,12,4491299
915,INBOX,14,5845223
916,INCUR,7,1984112
917,INDEX,13,242826246
918,INDIA,6,87391857
919,INDIE,6,7722085
920,INFOS,8,1980341
921,INFRA,8,1426499
922,INLET,5,3433125
923,INNER,5,17552078
924,INPUT,7,57191675
925,INTEL,5,28995654
926,INTER,5,15269346
927,INTRA,5,3081776
928,INTRO,5,11938092
929,IONIC,7,1808092
930,IRONS,5,3116159
931,IRONY,8,2212193
932,ISLES,5,3443470
933,ISSUE,5,128427156
934,ITEMS,7,330505325
935,IVORY,11,7146685
936,JACKS,18,2818856
937,JAMES,14,90535679
938,JAPAN,14,81110725
939,JEANS,12,11896655
940,JELLY,15,3698541
941,JENNY,15,6118544
942,JERRY,15,13908229
943,JESSE,12,6744751
944,JESUS,12,34929061
945,JEWEL,15,5603871
946,JIHAD,16,2048833
947,JIMMY,19,13030009
948,JOHNS,15,5610302
949,JOINS,12,5578553
950,JOINT,12,38827057
951,JOKER,16,1492319
952,JOKES,16,14622894
953,JOLLY,15,2522092
954,JONES,12,39297134
955,JUDGE,14,30905832
956,JUICE,14,10973425
957,JUICY,17,3778910
958,JUMBO,16,3237095
959,JUMPS,16,2793122
960,KAPPA,13,2793667
961,KARMA,11,6862407
962,KAYAK,16,2628993
963,KEEPS,11,13624468
964,KELLY,12,30510238
965,KERRY,12,14514771
966,KHAKI,16,1481504
967,KICKS,15,3792491
968,KILLS,9,6484339
969,KINDA,10,5660928
970,KINDS,10,34482138
971,KINGS,10,14914273
972,KINKY,16,3254161
973,KIOSK,13,1808146
974,KIRBY,14,2813914
975,KITTY,12,6414935
976,KNEES,9,4250743
977,KNIFE,12,11297715
978,KNOBS,11,2151258
979,KNOCK,15,5196013
980,KNOTS,9,2796342
981,KNOWN,12,86395556
982,KNOWS,12,24640096
983,KRAFT,12,2076875
984,KRONA,9,1585436
985,KUDOS,10,1589906
986,KYLIE,12,2415779
987,LABEL,7,41359857
988,LABOR,7,37866418
989,LACEY,10,1539328
990,LACKS,11,3296569
991,LADEN,6,5964620
992,LAKES,9,14947463
993,LAMPS,9,11000656
994,LANCE,7,5509634
995,LANDS,6,13891179
996,LANES,5,5489762
997,LAPSE,7,1459542
998,LARGE,6,165863763
999,LARGO,6,1814464
1000,LASER,5,34080740
1001,LASTS,5,2678667
1002,LATCH,10,1777882
1003,LATER,5,84857974
1004,LATEX,12,10502825
1005,LAUGH,9,9822471
1006,LAURA,5,13801282
1007,LAYER,8,26912270
1008,LAYUP,10,1695143
1009,LEACH,10,1516929
1010,LEADS,6,30507300
1011,LEAFS,8,1545582
1012,LEAKS,9,2214133
1013,LEARN,5,179428286
1014,LEASE,5,17180592
1015,LEAST,5,111229798
1016,LEAVE,8,70957750
1017,LEGAL,6,142048771
1018,LEMMA,9,4623172
1019,LEMON,7,9066930
1020,LEONE,5,6393163
1021,LESBO,7,2606338
1022,LEVEL,8,202563642
1023,LEVER,8,3566558
1024,LEVIN,8,2202321
1025,LEWIS,8,22640158
1026,LIENS,5,1947603
1027,LIFTS,8,4479565
1028,LIGHT,9,126699632
1029,LIKED,10,11282738
1030,LIKES,9,9727733
1031,LILAC,7,1738684
1032,LIMBS,9,1916350
1033,LIMIT,7,38290292
1034,LINED,6,5802278
1035,LINEN,5,4960413
1036,LINER,5,4486145
1037,LINES,5,76806341
1038,LINKS,9,339926541
1039,LINUX,12,90854231
1040,LIONS,5,6980244
1041,LIPID,8,2662396
1042,LISTS,5,58249254
1043,LITER,5,2768775
1044,LITRE,5,2195204
1045,LIVED,9,18050710
1046,LIVER,8,12139363
1047,LIVES,8,42750046
1048,LOADS,6,9175948
1049,LOANS,5,80821333
