index,word,score,data_frequency,common
83,ACOCK,13,0,0
84,ACOLD,8,0,0
85,ACORN,7,1825652,1
86,ACRED,8,0,0
87,ACRES,7,14208905,1
88,ACRID,8,104638,0
89,ACROS,7,67908,0
90,ACTED,8,4468180,1
91,ACTIN,7,1356491,0
92,ACTON,7,1309016,0
93,ACTOR,7,16282891,1
94,ACUTE,7,11128841,1
95,ACYLS,10,0,0
96,ADAGE,7,419158,0
97,ADAPT,8,4675567,1
98,ADAWS,9,0,0
99,ADAYS,9,13959,0
100,ADBOT,8,19586,0
101,ADDAX,14,16108,0
102,ADDED,8,118410414,1
103,ADDER,7,888956,0
104,ADDIO,7,54645,0
105,ADDLE,7,15267,0
106,ADEEM,8,0,0
107,ADEPT,8,1595303,1
108,ADHAN,9,37011,0
109,ADIEU,6,274747,0
110,ADIOS,6,348221,0
111,ADITS,6,12932,0
112,ADMAN,8,30780,0
113,ADMEN,8,0,0
114,ADMIN,8,37835381,1
115,ADMIT,8,8780656,1
116,ADMIX,15,17678,0
117,ADOBE,8,27538755,1
118,ADOBO,8,73556,0
119,ADOPT,8,11272339,1
120,ADORE,6,1176240,0
121,ADORN,6,464591,0
122,ADOWN,9,15167,0
123,ADOZE,15,0,0
124,ADRAD,7,0,0
125,ADRED,7,0,0
126,ADSUM,8,0,0
127,ADUKI,10,0,0
128,ADULT,6,97583096,1
129,ADUNC,8,0,0
130,ADUST,6,0,0
131,ADVEW,12,0,0
132,ADYTA,9,0,0
133,ADZED,16,0,0
134,ADZES,15,0,0
135,AECIA,7,0,0
136,AEDES,6,173718,0
137,AEGIS,6,1349788,0
138,AEONS,5,92070,0
139,AERIE,5,107043,0
140,AEROS,5,137375,0
141,AESIR,5,33093,0
142,AFALD,9,0,0
143,AFARA,8,0,0
144,AFARS,8,16470,0
145,AFEAR,8,0,0
146,AFFIX,18,444121,0
147,AFIRE,8,113772,0
148,AFLAJ,15,0,0
149,AFOOT,8,364417,0
150,AFORE,8,191691,0
151,AFOUL,8,159727,0
152,AFRIT,8,0,0
153,AFROS,8,24950,0
154,AFTER,8,372948094,1
155,AGAIN,6,150781416,1
156,AGAMA,8,68959,0
157,AGAMI,8,18814,0
158,AGAPE,8,414471,0
159,AGARS,6,0,0
160,AGAST,6,0,0
161,AGATE,6,900451,0
162,AGAVE,9,312239,0
163,AGAZE,15,0,0
164,AGENE,6,0,0
165,AGENT,6,57103658,1
166,AGERS,6,180316,0
167,AGGER,7,27373,0
168,AGGIE,7,616732,0
169,AGGRI,7,0,0
170,AGGRO,7,171343,0
171,AGGRY,10,0,0
172,AGHAS,9,0,0
173,AGILA,6,64661,0
174,AGILE,6,1808955,1
175,AGING,7,12014007,1
176,AGIOS,6,230082,0
177,AGISM,8,0,0
178,AGIST,6,0,0
179,AGITA,6,0,0
180,AGLEE,6,0,0
181,AGLET,6,21535,0
182,AGLEY,9,0,0
183,AGLOO,6,0,0
184,AGLOW,9,110328,0
185,AGLUS,6,0,0
186,AGMAS,8,0,0
187,AGOGE,7,0,0
188,AGONE,6,0,0
189,AGONS,6,0,0
190,AGONY,9,1543205,1
191,AGOOD,7,24742,0
192,AGORA,6,797585,0
193,AGREE,6,47500911,1
194,AGRIA,6,0,0
195,AGRIN,6,23924,0
196,AGROS,6,0,0
197,AGUED,7,0,0
198,AGUES,6,0,0
199,AGUNA,6,0,0
200,AGUTI,6,0,0
201,AHEAD,9,28375319,1
202,AHEAP,10,0,0
203,AHENT,8,0,0
204,AHIGH,12,12899,0
205,AHIND,9,0,0
206,AHING,9,0,0
207,AHINT,8,0,0
208,AHOLD,9,295977,0
209,AHULL,8,0,0
210,AHURU,8,0,0
211,AIDAS,6,0,0
212,AIDED,7,3314916,1
213,AIDER,6,140957,0
214,AIDES,6,1614522,1
215,AIDOI,6,0,0
216,AIDOS,6,0,0
217,AIERY,8,0,0
218,AIGAS,6,0,0
219,AIGHT,9,127253,0
220,AILED,6,20703,0
221,AIMED,8,10030370,1
222,AIMER,7,96862,0
223,AINEE,5,0,0
224,AINGA,6,0,0
225,AIOLI,5,84769,0
226,AIRED,6,2159611,1
227,AIRER,5,36215,0
228,AIRNS,5,0,0
229,AIRTH,8,28113,0
230,AIRTS,5,0,0
231,AISLE,5,1917319,1
232,AITCH,10,28626,0
233,AITUS,5,0,0
234,AIVER,8,0,0
235,AIYEE,8,0,0
236,AIZLE,14,0,0
237,AJIES,12,0,0
238,AJIVA,15,0,0
239,AJUGA,13,31146,0
240,AJWAN,15,0,0
241,AKEES,9,0,0
242,AKELA,9,28395,0
243,AKENE,9,0,0
244,AKING,10,105864,0
245,AKITA,9,440387,0
246,AKKAS,13,0,0
247,ALAAP,7,0,0
248,ALACK,11,38913,0
249,ALAMO,7,2162395,1
250,ALAND,6,874439,0
251,ALANE,5,34667,0
252,ALANG,6,48219,0
253,ALANS,5,34103,0
254,ALANT,5,0,0
255,ALAPA,7,0,0
256,ALAPS,7,0,0
257,ALARM,7,17059844,1
258,ALARY,8,13261,0
259,ALATE,5,0,0
260,ALAYS,8,0,0
261,ALBAS,7,0,0
262,ALBEE,7,239116,0
263,ALBUM,9,77914316,1
264,ALCID,8,0,0
265,ALCOS,7,0,0
266,ALDEA,6,47423,0
267,ALDER,6,972850,0
268,ALDOL,6,32614,0
269,ALECK,11,69914,0
270,ALECS,7,0,0
271,ALEFS,8,0,0
272,ALEFT,8,0,0
273,ALEPH,10,692035,0
274,ALERT,5,32472727,1
275,ALEWS,8,0,0
276,ALEYE,8,0,0
277,ALFAS,8,23952,0
278,ALGAE,6,2068644,1
279,ALGAL,6,510781,0
280,ALGAS,6,36273,0
281,ALGID,7,0,0
282,ALGIN,6,0,0
283,ALGOR,6,79868,0
284,ALGUM,8,21242,0
285,ALIAS,5,7132147,1
286,ALIBI,7,448710,0
287,ALIEN,5,10490554,1
288,ALIFS,8,0,0
289,ALIGN,6,5478643,1
290,ALIKE,9,6220739,1
291,ALINE,5,267309,0
292,ALIST,5,270374,0
293,ALIVE,8,16064787,1
294,ALIYA,8,86771,0
295,ALKIE,9,0,0
296,ALKOS,9,0,0
297,ALKYD,13,101898,0
298,ALKYL,12,637228,0
299,ALLAY,8,203474,0
300,ALLEE,5,204946,0
301,ALLEL,5,39827,0
302,ALLEY,8,4541475,1
303,ALLIS,5,603850,0
304,ALLOD,6,0,0
305,ALLOT,5,396325,0
306,ALLOW,8,67052567,1
307,ALLOY,8,5468839,1
308,ALLYL,8,130966,0
309,ALMAH,10,0,0
310,ALMAS,7,48769,0
311,ALMEH,10,0,0
312,ALMES,7,44838,0
313,ALMUD,8,0,0
314,ALMUG,8,0,0
315,ALODS,6,0,0
316,ALOED,6,0,0
317,ALOES,5,66464,0
318,ALOFT,8,497342,0
319,ALOHA,8,2099181,1
320,ALOIN,5,0,0
321,ALONE,5,39326417,1
322,ALONG,6,83444756,1
323,ALOOF,8,294291,0
324,ALOOS,5,0,0
325,ALOUD,6,3743858,1
326,ALOWE,8,0,0
327,ALPHA,10,27832836,1
328,ALTAR,5,2627835,1
329,ALTER,5,7831337,1
330,ALTHO,8,159231,0
331,ALTOS,5,1143776,0
332,ALULA,5,13600,0
333,ALUMS,7,271859,0
334,ALURE,5,0,0
335,ALVAR,8,106564,0
336,ALWAY,11,201600,0
337,AMAHS,10,0,0
338,AMAIN,7,28001,0
339,AMASS,7,181774,0
340,AMATE,7,27910,0
341,AMAUT,7,0,0
342,AMAZE,16,791672,0
343,AMBAN,9,0,0
344,AMBER,9,11065507,1
345,AMBIT,9,247267,0
346,AMBLE,9,141586,0
347,AMBOS,9,104687,0
348,AMBRY,12,16543,0
349,AMEBA,9,0,0
350,AMEER,7,56160,0
351,AMEND,8,7806844,1
352,AMENE,7,0,0
353,AMENS,7,0,0
354,AMENT,7,68334,0
355,AMIAS,7,0,0
356,AMICE,9,0,0
357,AMICI,9,498099,0
358,AMIDE,8,316773,0
359,AMIDO,8,25154,0
360,AMIDS,8,0,0
361,AMIES,7,35247,0
362,AMIGA,8,2201683,1
363,AMIGO,8,1094662,0
364,AMINE,7,689951,0
365,AMINO,7,8273641,1
366,AMINS,7,0,0
367,AMIRS,7,0,0
368,AMISS,7,271389,0
369,AMITY,10,540428,0
370,AMLAS,7,0,0
371,AMMAN,9,907030,0
372,AMMON,9,296510,0
373,AMMOS,9,0,0
374,AMNIA,7,0,0
375,AMNIC,9,0,0
376,AMNIO,7,26543,0
377,AMOKS,11,0,0
378,AMOLE,7,0,0
379,AMONG,8,83431590,1
380,AMORT,7,52215,0
381,AMOUR,7,1346779,0
382,AMOVE,10,0,0
383,AMOWT,10,0,0
384,AMPED,10,318536,0
385,AMPLE,9,3187842,1
386,AMPLY,12,321480,0
387,AMPUL,9,0,0
388,AMRIT,7,117386,0
389,AMUCK,13,70822,0
390,AMUSE,7,554922,0
391,AMYLS,10,0,0
392,ANANA,5,0,0
393,ANATA,5,97604,0
394,ANCHO,10,95151,0
395,ANCLE,7,0,0
396,ANCON,7,27256,0
397,ANDRO,6,154794,0
398,ANEAR,5,0,0
399,ANELE,5,62912,0
400,ANENT,5,27966,0
401,ANGAS,6,37853,0
402,ANGEL,6,25294123,1
403,ANGER,6,7991036,1
404,ANGLE,6,17016075,1
405,ANGLO,6,2798286,1
406,ANGRY,9,9267505,1
407,ANGST,6,1232364,0
408,ANIGH,9,0,0
409,ANILE,5,14401,0
410,ANILS,5,0,0
411,ANIMA,7,559141,0
412,ANIME,7,31334688,1
413,ANIMI,7,21791,0
414,ANION,5,504530,0
415,ANISE,5,324336,0
416,ANKER,9,175826,0
417,ANKHS,12,0,0
418,ANKLE,9,4146793,1
419,ANKUS,9,0,0
420,ANLAS,5,0,0
421,ANNAL,5,91257,0
422,ANNAS,5,115640,0
423,ANNAT,5,53865,0
424,ANNEX,12,8465905,1
425,ANNOY,8,1497815,1
426,ANNUL,5,146490,0
427,ANOAS,5,0,0
428,ANODE,6,768949,0
429,ANOLE,5,39883,0
430,ANOMY,10,22835,0
431,ANSAE,5,0,0
432,ANTAE,5,0,0
433,ANTAR,5,62848,0
434,ANTAS,5,14611,0
435,ANTED,6,16159,0
436,ANTES,5,472677,0
437,ANTIC,7,147936,0
438,ANTIS,5,61179,0
439,ANTRA,5,14888,0
440,ANTRE,5,0,0
441,ANTSY,8,82656,0
442,ANURA,5,97111,0
443,ANVIL,8,936808,0
444,ANYON,8,37349,0
445,AORTA,5,641057,0
446,APACE,9,154873,0
447,APAGE,8,0,0
448,APAID,8,0,0
449,APART,7,16507181,1
450,APAYD,11,0,0
451,APAYS,10,0,0
452,APEAK,11,0,0
453,APEEK,11,0,0
454,APERS,7,39349,0
455,APERT,7,36425,0
456,APERY,10,0,0
457,APGAR,8,114178,0
458,APHID,11,295138,0
459,APHIS,10,389447,0
460,APIAN,7,0,0
461,APING,8,42534,0
462,APIOL,7,0,0
463,APISH,10,0,0
464,APISM,9,0,0
465,APNEA,7,950562,0
466,APODE,8,0,0
467,APODS,8,0,0
468,APOOP,9,0,0
469,APORT,7,0,0
470,APPAL,9,27269,0
471,APPAY,12,0,0
472,APPEL,9,812311,0
473,APPLE,9,50551171,1
474,APPLY,12,76341478,1
475,APPRO,9,352278,0
476,APPUI,9,68595,0
477,APPUY,12,0,0
478,APRES,7,282360,0
479,APRON,7,1617357,1
480,APSES,7,0,0
481,APSIS,7,53093,0
482,APSOS,7,17502,0
483,APTED,8,47832,0
484,APTER,7,75596,0
485,APTLY,10,598371,0
486,AQUAE,14,38767,0
487,AQUAS,14,0,0
488,ARABA,7,85785,0
489,ARAKS,9,0,0
490,ARAME,7,0,0
491,ARARS,5,32570,0
492,ARBAS,7,0,0
493,ARBOR,7,5057261,1
494,ARCED,8,26654,0
495,ARCHI,10,260000,0
496,ARCOS,7,151492,0
497,ARCUS,7,129194,0
498,ARDEB,8,0,0
499,ARDOR,6,155258,0
500,ARDRI,6,0,0
501,AREAD,6,0,0
502,AREAE,5,0,0
503,AREAL,5,289091,0
504,AREAR,5,0,0
505,AREAS,5,121986327,1
506,ARECA,7,78703,0
507,AREDD,7,0,0
508,AREDE,6,0,0
509,AREFY,11,0,0
510,AREIC,7,0,0
511,ARENA,5,13966572,1
512,ARENE,5,37383,0
513,AREPA,7,0,0
514,ARERE,5,0,0
515,ARETE,5,181243,0
516,ARETS,5,0,0
517,ARETT,5,0,0
518,ARGAL,6,0,0
519,ARGAN,6,26269,0
520,ARGIL,6,0,0
521,ARGLE,6,0,0
522,ARGOL,6,0,0
523,ARGON,6,760267,0
524,ARGOT,6,51766,0
525,ARGUE,6,8353605,1
526,ARGUS,6,2172332,1
527,ARHAT,8,28698,0
528,ARIAS,5,701697,0
529,ARIEL,5,2731662,1
530,ARIKI,9,46804,0
531,ARILS,5,0,0
532,ARIOT,5,0,0
533,ARISE,5,8337093,1
534,ARISH,8,45447,0
535,ARKED,10,0,0
536,ARLED,6,0,0
537,ARLES,5,495534,0
538,ARMED,8,13866785,1
539,ARMER,7,48949,0
540,ARMET,7,0,0
541,ARMIL,7,0,0
542,ARMOR,7,6001844,1
543,ARNAS,5,0,0
544,ARNUT,5,0,0
545,AROBA,7,0,0
546,AROHA,8,51420,0
547,AROID,6,0,0
548,AROMA,7,2018777,1
549,AROSE,5,2609029,1
550,ARPAS,7,0,0
551,ARPEN,7,0,0
552,ARRAH,8,0,0
553,ARRAS,5,163483,0
554,ARRAY,8,25150016,1
555,ARRET,5,0,0
556,ARRIS,5,70170,0
557,ARROW,8,11563142,1
558,ARROZ,14,110715,0
559,ARSED,6,125628,0
560,ARSES,5,82425,0
561,ARSEY,8,0,0
562,ARSIS,5,24659,0
563,ARSON,5,989351,0
564,ARTAL,5,0,0
565,ARTEL,5,29896,0
566,ARTIC,7,431117,0
567,ARTIS,5,394835,0
568,ARTSY,8,333481,0
569,ARUHE,8,0,0
570,ARUMS,7,0,0
571,ARVAL,8,17215,0
572,ARVEE,8,0,0
573,ARVOS,8,0,0
574,ARYLS,8,0,0
575,ASANA,5,175243,0
576,ASCON,7,12971,0
577,ASCOT,7,888745,0
578,ASCUS,7,37312,0
579,ASDIC,8,0,0
580,ASHED,9,0,0
581,ASHEN,8,184747,0
582,ASHES,8,3011008,1
583,ASHET,8,0,0
584,ASIDE,6,11768649,1
585,ASKED,10,75532722,1
586,ASKER,9,948596,0
587,ASKEW,12,473664,0
588,ASKOI,9,0,0
589,ASKOS,9,0,0
590,ASPEN,7,4626441,1
591,ASPER,7,84389,0
592,ASPIC,9,54553,0
593,ASPIE,7,0,0
594,ASPIS,7,0,0
595,ASPRO,7,70422,0
596,ASSAI,5,54173,0
597,ASSAM,7,803070,0
598,ASSAY,8,3855224,1
599,ASSES,5,4583177,1
600,ASSET,5,18178753,1
601,ASSEZ,14,83499,0
602,ASSOT,5,0,0
603,ASTER,5,718311,0
604,ASTIR,5,51145,0
605,ASTUN,5,0,0
606,ASURA,5,54205,0
607,ASWAY,11,0,0
608,ASWIM,10,0,0
609,ASYLA,8,0,0
610,ATAPS,7,0,0
611,ATAXY,15,0,0
612,ATIGI,6,0,0
613,ATILT,5,0,0
614,ATIMY,10,0,0
615,ATLAS,5,12221120,1
616,ATMAN,7,173626,0
617,ATMAS,7,0,0
618,ATMOS,7,488481,0
619,ATOCS,7,0,0
620,ATOKE,9,0,0
621,ATOKS,9,0,0
622,ATOLL,5,908471,0
623,ATOMS,7,4375988,1
624,ATOMY,10,0,0
625,ATONE,5,152901,0
626,ATONY,8,0,0
627,ATOPY,10,66364,0
628,ATRIA,5,279451,0
629,ATRIP,7,0,0
630,ATTAP,7,73826,0
631,ATTAR,5,86729,0
632,ATTIC,7,3347389,1
633,ATUAS,5,0,0
634,AUDAD,7,0,0
635,AUDIO,6,127014703,1
636,AUDIT,6,20786243,1
637,AUGER,6,678597,0
638,AUGHT,9,207367,0
639,AUGUR,6,120764,0
640,AULAS,5,22980,0
641,AULIC,7,0,0
642,AULOI,5,0,0
643,AULOS,5,26850,0
644,AUMIL,7,0,0
645,AUNES,5,0,0
646,AUNTS,5,609018,0
647,AUNTY,8,239524,0
648,AURAE,5,0,0
649,AURAL,5,744671,0
650,AURAR,5,0,0
651,AURAS,5,134666,0
652,AUREI,5,0,0
653,AURES,5,0,0
654,AURIC,7,79392,0
655,AURIS,5,34496,0
656,AURUM,7,141480,0
657,AUTOS,5,9798008,1
658,AUXIN,12,154606,0
659,AVAIL,8,3902711,1
660,AVALE,8,0,0
661,AVANT,8,2710283,1
662,AVAST,8,449613,0
663,AVELS,8,0,0
664,AVENS,8,43203,0
665,AVERS,8,109324,0
666,AVERT,8,767435,0
667,AVGAS,9,40092,0
668,AVIAN,8,2877167,1
669,AVINE,8,0,0
670,AVION,8,581489,0
671,AVISE,8,40613,0
672,AVISO,8,354132,0
673,AVIZE,17,0,0
674,AVOID,9,36508203,1
675,AVOWS,11,12784,0
676,AVYZE,20,0,0
677,AWAIT,8,1745587,1
678,AWAKE,12,3230337,1
679,AWARD,9,59652161,1
680,AWARE,8,25700328,1
681,AWARN,8,0,0
682,AWASH,11,274221,0
683,AWATO,8,0,0
684,AWAVE,11,20063,0
685,AWAYS,11,400767,0
686,AWDLS,9,0,0
687,AWEEL,8,0,0
688,AWETO,8,0,0
689,AWFUL,11,5217370,1
690,AWING,9,0,0
691,AWMRY,13,0,0
692,AWNED,9,19334,0
693,AWNER,8,0,0
694,AWOKE,12,688520,0
695,AWOLS,8,0,0
696,AWORK,12,0,0
697,AXELS,12,33994,0
698,AXIAL,12,1685087,1
699,AXILE,12,0,0
700,AXILS,12,29666,0
701,AXING,13,53425,0
702,AXIOM,14,1495473,1
703,AXION,12,276049,0
704,AXITE,12,0,0
705,AXLED,13,0,0
706,AXLES,12,647257,0
707,AXMAN,14,0,0
708,AXMEN,14,0,0
709,AXOID,13,0,0
710,AXONE,12,19386,0
711,AXONS,12,385758,0
712,AYAHS,11,0,0
713,AYAYA,11,0,0
714,AYELP,10,0,0
715,AYGRE,9,0,0
716,AYINS,8,0,0
717,AYONT,8,0,0
718,AYRES,8,606243,0
719,AYRIE,8,0,0
720,AZANS,14,0,0
721,AZIDE,15,254983,0
722,AZIDO,15,28802,0
723,AZINE,14,0,0
724,AZLON,14,0,0
725,AZOIC,16,0,0
726,AZOLE,14,41201,0
727,AZONS,14,0,0
728,AZOTE,14,12841,0
729,AZOTH,17,0,0
730,AZUKI,18,13449,0
731,AZURE,14,1042257,0
732,AZURN,14,0,0
733,AZURY,17,0,0
734,AZYGY,21,0,0
735,AZYME,19,0,0
736,AZYMS,19,0,0
737,BAAED,8,0,0
738,BAALS,7,0,0
739,BABAS,9,19694,0
740,BABEL,9,1047472,0
741,BABES,9,27016030,1
742,BABKA,13,22606,0
743,BABOO,9,16716,0
744,BABUL,9,22216,0
745,BABUS,9,0,0
746,BACCA,11,18209,0
747,BACCO,11,161419,0
748,BACCY,14,0,0
749,BACHA,12,25536,0
750,BACHS,12,17081,0
751,BACKS,13,4797208,1
752,BACON,9,5385205,1
753,BADDY,12,15679,0
754,BADGE,9,6145138,1
755,BADLY,11,5290145,1
756,BAELS,7,0,0
757,BAFFS,13,0,0
758,BAFFY,16,0,0
759,BAFTS,10,0,0
760,BAGEL,8,792721,0
761,BAGGY,12,419677,0
762,BAGHS,11,0,0
763,BAGIE,8,0,0
764,BAHTS,10,100220,0
765,BAHUS,10,0,0
766,BAHUT,10,0,0
767,BAILS,7,149105,0
768,BAIRN,7,34786,0
769,BAISA,7,0,0
770,BAITH,10,14124,0
771,BAITS,7,669063,0
772,BAIZA,16,0,0
773,BAIZE,16,48414,0
774,BAJAN,14,42864,0
775,BAJRA,14,0,0
776,BAJRI,14,0,0
777,BAJUS,14,0,0
778,BAKED,12,4716100,1
779,BAKEN,11,16235,0
780,BAKER,11,14862470,1
781,BAKES,11,173816,0
782,BAKRA,11,0,0
783,BALAS,7,68596,0
784,BALDS,8,0,0
785,BALDY,11,261017,0
786,BALED,8,78514,0
787,BALER,7,153800,0
788,BALES,7,712551,0
789,BALKS,11,62743,0
790,BALKY,14,24948,0
791,BALLS,7,13683840,1
792,BALLY,10,884078,0
793,BALMS,9,256614,0
794,BALMY,12,210906,0
795,BALOO,7,94508,0
796,BALSA,7,485561,0
797,BALTI,7,137642,0
798,BALUN,7,106049,0
799,BALUS,7,0,0
800,BAMBI,11,787833,0
801,BANAK,11,0,0
802,BANAL,7,260129,0
803,BANCO,9,1182286,0
804,BANCS,9,16230,0
805,BANDA,8,1187929,0
806,BANDH,11,43780,0
807,BANDS,8,20842378,1
808,BANDY,11,238539,0
809,BANED,8,0,0
810,BANES,7,93807,0
811,BANGS,8,1154062,0
812,BANIA,7,26516,0
813,BANJO,14,1940675,1
814,BANKS,11,30582183,1
815,BANNS,7,145651,0
816,BANTS,7,0,0
817,BANTU,7,215030,0
818,BANTY,10,0,0
819,BANYA,10,62734,0
820,BAPUS,9,0,0
821,BARBE,9,111899,0
822,BARBS,9,274090,0
823,BARBY,12,70276,0
824,BARCA,9,340426,0
825,BARDE,8,14315,0
826,BARDO,8,96541,0
827,BARDS,8,285757,0
828,BARDY,11,0,0
829,BARED,8,186940,0
830,BARER,7,86373,0
831,BARES,7,216791,0
832,BARFI,10,15384,0
833,BARFS,10,22116,0
834,BARGE,8,1319916,0
835,BARIC,9,41654,0
836,BARKS,11,431387,0
837,BARKY,14,20516,0
838,BARMS,9,0,0
839,BARMY,12,75129,0
840,BARNS,7,1223270,0
841,BARNY,10,29190,0
842,BARON,7,3504549,1
843,BARPS,9,0,0
844,BARRA,7,656133,0
845,BARRE,7,1839524,1
846,BARRO,7,145814,0
847,BARRY,10,12921548,1
848,BARYE,10,0,0
849,BASAL,7,1821739,1
850,BASAN,7,0,0
851,BASED,8,252405204,1
852,BASEN,7,30386,0
853,BASER,7,62041,0
854,BASES,7,8663363,1
855,BASHO,10,137891,0
856,BASIC,9,84840226,1
857,BASIJ,14,0,0
858,BASIL,7,2757419,1
859,BASIN,7,10544774,1
860,BASIS,7,59901425,1
861,BASKS,11,33223,0
862,BASON,7,25169,0
863,BASSE,7,317589,0
864,BASSI,7,178307,0
865,BASSO,7,387021,0
866,BASSY,10,39488,0
867,BASTA,7,306217,0
868,BASTE,7,95369,0
869,BASTI,7,61685,0
870,BASTO,7,29914,0
871,BASTS,7,0,0
872,BATCH,12,7835050,1
873,BATED,8,65650,0
874,BATES,7,3503755,1
875,BATHE,10,494252,0
876,BATHS,10,5707960,1
877,BATIK,11,648561,0
878,BATON,7,4229776,1
879,BATTA,7,19422,0
880,BATTS,7,189079,0
881,BATTU,7,0,0
882,BATTY,10,416010,0
883,BAUDS,8,0,0
884,BAUKS,11,0,0
885,BAULK,11,31004,0
886,BAURS,7,0,0
887,BAVIN,10,0,0
888,BAWDS,11,0,0
889,BAWDY,14,160667,0
890,BAWKS,14,0,0
891,BAWLS,10,57450,0
892,BAWNS,10,0,0
893,BAWRS,10,0,0
894,BAWTY,13,0,0
895,BAYED,11,14407,0
896,BAYER,10,1825243,1
897,BAYES,10,569591,0
898,BAYLE,10,119261,0
899,BAYOU,10,1397958,0
900,BAYTS,10,0,0
901,BAZAR,16,365968,0
902,BAZOO,16,0,0
903,BEACH,12,105642682,1
904,BEADS,8,10825324,1
905,BEADY,11,87974,0
906,BEAKS,11,145800,0
907,BEAKY,14,22734,0
908,BEALS,7,229428,0
909,BEAMS,9,3032813,1
910,BEAMY,12,0,0
911,BEANO,7,358497,0
912,BEANS,7,7607524,1
913,BEANY,10,46499,0
914,BEARD,8,3166516,1
915,BEARE,7,118875,0
916,BEARS,7,22926868,1
917,BEAST,7,14787561,1
918,BEATH,10,25518,0
919,BEATS,7,6367861,1
920,BEATY,10,209357,0
921,BEAUS,7,21947,0
922,BEAUT,7,160328,0
923,BEAUX,14,425302,0
924,BEBOP,11,1000401,0
925,BECAP,11,0,0
926,BECKE,13,33592,0
927,BECKS,13,215169,0
928,BEDAD,9,0,0
929,BEDEL,8,17484,0
930,BEDES,8,18687,0
931,BEDEW,11,0,0
932,BEDIM,10,0,0
933,BEDYE,11,0,0
934,BEECH,12,2327119,1
935,BEEDI,8,0,0
936,BEEFS,10,106016,0
937,BEEFY,13,366863,0
938,BEEPS,9,311081,0
939,BEERS,7,2633610,1
940,BEERY,10,90230,0
941,BEETS,7,439436,0
942,BEFIT,10,31021,0
943,BEFOG,11,0,0
944,BEGAD,9,0,0
945,BEGAN,8,38269468,1
946,BEGAR,8,0,0
947,BEGAT,8,191296,0
948,BEGEM,10,0,0
949,BEGET,8,119815,0
950,BEGIN,8,45434902,1
951,BEGOT,8,60965,0
952,BEGUM,10,134200,0
953,BEGUN,8,8636352,1
954,BEIGE,8,4288534,1
955,BEIGY,11,0,0
956,BEING,8,242783091,1
957,BEINS,7,0,0
958,BEKAH,14,51673,0
959,BELAH,10,0,0
960,BELAR,7,0,0
961,BELAY,10,297360,0
962,BELCH,12,115135,0
963,BELEE,7,0,0
964,BELGA,8,126913,0
965,BELIE,7,103562,0
966,BELLE,7,5820002,1
967,BELLS,7,4743841,1
968,BELLY,10,7346354,1
969,BELON,7,0,0
970,BELOW,10,145701629,1
971,BELTS,7,5651790,1
972,BEMAD,10,0,0
973,BEMAS,9,0,0
974,BEMIX,16,0,0
975,BEMUD,10,0,0
976,BENCH,12,8992211,1
977,BENDS,8,1010930,0
978,BENDY,11,92458,0
979,BENES,7,97606,0
980,BENET,7,226135,0
981,BENGA,8,0,0
